,CUI,STR,NAME_SAB,DEF,DEF_SAB,TUI,STY
13,C0004037,Aspergillus fumigatus,SNOMEDCT_US,"A species of mold fungus in the phylum Ascomycota with a stable haploid genome, no known sexual cycle, and that reproduces by forming conidiospores that are released into the environment.",NCI,T004,Fungus
14,C0004096,Asthma,SNOMEDCT_US,"What is asthma? Asthma is a chronic (long-term) lung disease. It affects your airways, the tubes that carry air in and out of your lungs. When you have asthma, your airways can become inflamed and narrowed. This can cause wheezing, coughing, and tightness in your chest. When these symptoms get worse than usual, it is called an asthma attack or flare-up. What causes asthma? The exact cause of asthma is unknown. Genetics and your environment likely play a role in who gets asthma. An asthma attack can happen when you are exposed to an asthma trigger. An asthma trigger is something that can set off or worsen your asthma symptoms. Different triggers can cause different types of asthma: Allergic asthma is caused by allergens. Allergens are substances that cause an allergic reaction. They can include  Dust mites Mold Pets Pollen from grass, trees, and weeds Waste from pests such as cockroaches and mice   Nonallergic asthma is caused by triggers that are not allergens, such as  Breathing in cold air Certain medicines Household chemicals Infections such as colds and the flu Outdoor air pollution Tobacco smoke   Occupational asthma is caused by breathing in chemicals or industrial dusts at work Exercise-induced asthma happens during physical exercise, especially when the air is dry  Asthma triggers may be different for each person and can change over time. Who is at risk for asthma? Asthma affects people of all ages, but it often starts during childhood. Certain factors can raise your risk of having asthma: Being exposed to secondhand smoke when your mother is pregnant with you or when you are a small child Being exposed to certain substances at work, such as chemical irritants or industrial dusts Genetics and family history. You are more likely to have asthma if one of your parents has it, especially if it's your mother. Race or ethnicity. Black and African Americans and Puerto Ricans are at higher risk of asthma than people of other races or ethnicities. Having other diseases or conditions such as obesity and allergies Often having viral respiratory infections as a young child Sex. In children, asthma is more common in boys. In teens and adults, it is more common in women.  What are the symptoms of asthma? The symptoms of asthma include: Chest tightness Coughing, especially at night or early morning Shortness of breath Wheezing, which causes a whistling sound when you breathe out  These symptoms can range from mild to severe. You may have them every day or only once in a while. When you are having an asthma attack, your symptoms get much worse. The attacks may come on gradually or suddenly. Sometimes they can be life-threatening. They are more common in people who have severe asthma. If you are having asthma attacks, you may need a change in your treatment. How is asthma diagnosed? Your health care provider may use many tools to diagnose asthma: Physical exam Medical history Lung function tests, including spirometry, to test how well your lungs work Tests to measure how your airways react to specific exposures. During this test, you inhale different concentrations of allergens or medicines that may tighten the muscles in your airways. Spirometry is done before and after the test. Peak expiratory flow (PEF) tests to measure how fast you can blow air out using maximum effort Fractional exhaled nitric oxide (FeNO) tests to measure levels of nitric oxide in your breath when you breathe out. High levels of nitric oxide may mean that your lungs are inflamed. Allergy skin or blood tests, if you have a history of allergies. These tests check which allergens cause a reaction from your immune system.  What are the treatments for asthma? If you have asthma, you will work with your health care provider to create a treatment plan. The plan will include ways to manage your asthma symptoms and prevent asthma attacks. It will include: Strategies to avoid triggers. For example, if tobacco smoke is a trigger for you, you should not smoke or allow other people to smoke in your home or car. Short-term relief medicines, also called quick-relief medicines. They help prevent symptoms or relieve symptoms during an asthma attack. They include an inhaler to carry with you all the time. It may also include other types of medicines which work quickly to help open your airways. Control medicines. You take them every day to help prevent symptoms. They work by reducing airway inflammation and preventing narrowing of the airways.  If you have a severe attack and the short-term relief medicines do not work, you will need emergency care. Your provider may adjust your treatment until asthma symptoms are controlled. Sometimes asthma is severe and cannot be controlled with other treatments. If you are an adult with uncontrolled asthma, in some cases your provider might suggest bronchial thermoplasty. This is a procedure that uses heat to shrink the smooth muscle in the lungs. Shrinking the muscle reduces your airway's ability to tighten and allows you to breathe more easily. The procedure has some risks, so it's important to discuss them with your provider.",MEDLINEPLUS,T047,Disease or Syndrome
15,C0004099,Exercise-induced asthma,HPO,"Asthma attacks following a period of exercise. Usually the induced attack is short-lived and regresses spontaneously. The magnitude of postexertional airway obstruction is strongly influenced by the environment in which exercise is performed (i.e. inhalation of cold air during physical exertion markedly augments the severity of the airway obstruction; conversely, warm humid air blunts or abolishes it).",MSH,T047,Disease or Syndrome
16,C0004135,telangiectasia; ataxia,ICPC2ICD10ENG,"Ataxia-telangiectasia is a rare inherited disorder that affects the nervous system, immune system, and other body systems. This disorder is characterized by progressive difficulty with coordinating movements (ataxia) beginning in early childhood, usually before age 5. Affected children typically develop difficulty walking, problems with balance and hand coordination, involuntary jerking movements (chorea), muscle twitches (myoclonus), and disturbances in nerve function (neuropathy). The movement problems typically cause people to require wheelchair assistance by adolescence. People with this disorder also have slurred speech and trouble moving their eyes to look side-to-side (oculomotor apraxia). Small clusters of enlarged blood vessels called telangiectases, which occur in the eyes and on the surface of the skin, are also characteristic of this condition.~Affected individuals tend to have high amounts of a protein called alpha-fetoprotein (AFP) in their blood. The level of this protein is normally increased in the bloodstream of pregnant women, but it is unknown why individuals with ataxia-telangiectasia have elevated AFP or what effects it has in these individuals.~People with ataxia-telangiectasia often have a weakened immune system, and many develop chronic lung infections. They also have an increased risk of developing cancer, particularly cancer of blood-forming cells (leukemia) and cancer of immune system cells (lymphoma). Affected individuals are very sensitive to the effects of radiation exposure, including medical x-rays.~Ataxia-telangiectasia has no cure, though treatments might improve some symptoms. These treatments include physical and speech therapy and improving deficits in the immune system and nutrition. The life expectancy of people with ataxia-telangiectasia varies greatly, but affected individuals typically live into early adulthood.",MEDLINEPLUS,T047,Disease or Syndrome
17,C0004147,Atenolol,SNOMEDCT_US,"A synthetic isopropylamino-propanol derivative used as an antihypertensive, hypotensive and antiarrhythmic Atenolol acts as a peripheral, cardioselective beta blocker specific for beta-1 adrenergic receptors, without intrinsic sympathomimetic effects. It reduces exercise heart rates and delays atrioventricular conduction, with overall oxygen requirements decreasing. (NCI04)",NCI,T109,Organic Chemical
18,C0004259,Atropine,SNOMEDCT_US,"A synthetically-derived form of the endogenous alkaloid isolated from the plant Atropa belladonna. Atropine functions as a sympathetic, competitive antagonist of muscarinic cholinergic receptors, thereby abolishing the effects of parasympathetic stimulation. This agent may induce tachycardia, inhibit secretions, and relax smooth muscles. (NCI04)",NCI,T109,Organic Chemical
19,C0004364,Autoimmune disease,SNOMEDCT_US,"What are autoimmune diseases? Your immune system protects you from disease and infection by attacking germs that get into your body, such as viruses and bacteria. Your immune system can tell that the germs aren't part of you, so it destroys them. If you have an autoimmune disease, your immune system attacks the healthy cells of your organs and tissues by mistake. There are more than 80 types of autoimmune diseases. They can affect almost any part of your body. For example, alopecia areata is an autoimmune disease of the skin that causes hair loss. Autoimmune hepatitis affects the liver. In type 1 diabetes, the immune system attacks the pancreas. And in rheumatoid arthritis, the immune system can attack many parts of the body, including the joints, lungs, and eyes. What causes autoimmune diseases? No one is sure why autoimmune diseases happen. But you can't catch them from other people. Autoimmune diseases do tend to run in families, which means that certain genes may make some people more likely to develop a problem. Viruses, certain chemicals, and other things in the environment may trigger an autoimmune disease if you already have the genes for it. Who is at risk for autoimmune diseases? Millions of Americans of all ages have autoimmune diseases. Women develop many types of autoimmune diseases much more often than men. And if you have one autoimmune disease, you are more likely to get another. What are the symptoms of autoimmune diseases? The symptoms of an autoimmune disease depend on the part of your body that's affected. Many types of autoimmune diseases cause redness, swelling, heat, and pain, which are the signs and symptoms of inflammation. But other illnesses can cause the same symptoms. The symptoms of autoimmune diseases can come and go. During a flare-up, your symptoms may get severe for a while. Later on, you may have a remission, which means that your symptoms get better or disappear for a period of time. How are autoimmune diseases diagnosed? Doctors often have a hard time diagnosing autoimmune diseases. There's usually not a specific test to show whether you have a certain autoimmune disease. And the symptoms can be confusing. That's because many autoimmune diseases have similar symptoms. And some symptoms, such as muscle aches, are common in many other illnesses. So it can take a long time and some visits to different types of doctors to get a diagnosis. To help your doctor find out if an autoimmune disease is causing your symptoms,: Learn about the health conditions in your family history. What health problems did your grandparents, aunts, uncles, and cousins have? Write down what you learn and share it with your doctor. Keep track of your symptoms, including how long they last and what makes them better or worse. Share your notes with your doctor. See a specialist who deals with the symptoms that bother you most. For example, if you have rash, see a dermatologist (skin doctor).  What are the treatments for autoimmune diseases? The treatment depends on the disease. In most cases, the goal of treatment is to suppress (slow down) your immune system, and ease swelling, redness, and pain from inflammation. Your doctor may give you corticosteroids or other medicines to help you feel better. For some diseases, you may need treatment for the rest of your life.",MEDLINEPLUS,T047,Disease or Syndrome
20,C0004606,Nonproliferative diabetic retinopathy,ICD9CM,"An early stage of diabetic retinopathy that is characterized by retinal hemorrhage and exudate, but without proliferation of the blood vessels.",NCI,T047,Disease or Syndrome
21,C0004905,Beclomethasone,SNOMEDCT_US,"A synthetic glucocorticoid with anti-inflammatory and immunomodulating properties. After cell surface receptor attachment and cell entry, beclomethasone enters the nucleus where it binds to and activates specific nuclear receptors, resulting in an altered gene expression and inhibition of proinflammatory cytokine production.",NCI,T109,Organic Chemical
22,C0004906,Beclomethasone dipropionate,SNOMEDCT_US,"The dipropionate ester of a synthetic glucocorticoid with anti-inflammatory and immunomodulating properties. After cell surface receptor attachment and cell entry, beclomethasone enters the nucleus where it binds to and activates specific nuclear receptors, resulting in an altered gene expression and inhibition of proinflammatory cytokine production.",NCI,T109,Organic Chemical
23,C0004954,Belladonna alkaloid,SNOMEDCT_US,"Alkaloids obtained from various plants, especially the deadly nightshade (Atropa belladonna), variety acuminata; atropine, hyoscyamine and scopolamine are classical, specific antimuscarinic agents with many pharmacologic actions; used mainly as antispasmodics.",MSH,T109,Organic Chemical
24,C0004975,Bendroflumethiazide,SNOMEDCT_US,"A long-acting agent, also known as bendrofluazide, belonging to the class of thiazide diuretics with antihypertensive activity.",NCI,T109,Organic Chemical
25,C0005096,Benzphetamine,SNOMEDCT_US,"A sympathomimetic amine related to the synthetic agent amphetamine with central nervous system (CNS) stimulating and anorexic properties. Benzphetamine stimulates the release of certain catecholamines, particularly noradrenaline and dopamine, from nerve terminals in the brain and inhibits their uptake. The increase in synaptic concentrations of these catecholamines causes behavioral changes including euphoria, an increase in mental alertness and excitement, and suppresses appetite.",NCI,T109,Organic Chemical
26,C0005116,Bepridil,SNOMEDCT_US,A long-acting calcium-blocking agent with significant anti-anginal activity. The drug produces significant coronary vasodilation and modest peripheral effects. It has antihypertensive and selective anti-arrhythmia activities and acts as a calmodulin antagonist.,MSH,T109,Organic Chemical
27,C0005320,Betaxolol,SNOMEDCT_US,"A racemic mixture and selective beta-1 adrenergic receptor antagonist with antihypertensive and anti-glaucoma activities and devoid of intrinsic sympathomimetic activity. Betaxolol selectively and competitively binds to and blocks beta-1 adrenergic receptors in the heart, thereby decreasing cardiac contractility and rate. This leads to a reduction in cardiac output and lowers blood pressure. When applied topically in the eye, this agent reduces aqueous humor secretion and lowers the intraocular pressure (IOP). In addition, betaxolol prevents the release of renin, a hormone secreted by the kidneys that causes constriction of blood vessels.",NCI,T109,Organic Chemical
28,C0005802,Blood Glucose,MTH,Glucose present in circulating blood.,NCI,T109,Organic Chemical
29,C0005823,Blood Pressure,MTH,The pressure of the circulating blood against the walls of the blood vessels.,NCI,T040,Organism Function
30,C0005824,Blood pressure determination,MTH,The act of determining an individual's diastolic and systolic blood pressures.,NCI,T058,Health Care Activity
31,C0005826,Blood pressure outside reference range,SNOMEDCT_US,,,T033,Finding
32,C0005859,Bloom syndrome,SNOMEDCT_US,"Bloom syndrome is an inherited disorder characterized by short stature, a skin rash that develops after exposure to the sun, and a greatly increased risk of cancer.~People with Bloom syndrome are usually smaller than 97 percent of the population in both height and weight from birth, and they rarely exceed 5 feet tall in adulthood.~Affected individuals have skin that is sensitive to sun exposure, and they usually develop a butterfly-shaped patch of reddened skin across the nose and cheeks. A skin rash can also appear on other areas that are typically exposed to the sun, such as the back of the hands and the forearms. Small clusters of enlarged blood vessels (telangiectases) often appear in the rash; telangiectases can also occur in the eyes. Other skin features include patches of skin that are lighter or darker than the surrounding areas (hypopigmentation or hyperpigmentation respectively). These patches appear on areas of the skin that are not exposed to the sun, and their development is not related to the rashes.~People with Bloom syndrome have an increased risk of cancer. They can develop any type of cancer, but the cancers arise earlier in life than they do in the general population, and affected individuals often develop more than one type of cancer.~Individuals with Bloom syndrome have a high-pitched voice and distinctive facial features including a long, narrow face; a small lower jaw; and prominent nose and ears. Other features can include learning disabilities, an increased risk of diabetes, chronic obstructive pulmonary disease (COPD), and mild immune system abnormalities leading to recurrent infections of the upper respiratory tract, ears, and lungs during infancy. Men with Bloom syndrome usually do not produce sperm and as a result are unable to father children (infertile). Women with the disorder generally have reduced fertility and experience menopause at an earlier age than usual.",MEDLINEPLUS,T047,Disease or Syndrome
33,C0005905,Physiologic Thermoregulation,MTH,The processes of heating and cooling that an organism uses to control its temperature.,MSH,T040,Organism Function
34,C0006230,Bromocriptine,SNOMEDCT_US,"A semisynthetic, ergot alkaloid with antiparkinson and lactation inhibitory activities. Bromocriptine selectively binds to and activates the postsynaptic dopamine D2-like receptors in the corpus striatum of the central nervous system (CNS). D2-like receptors are coupled to inhibitory G-proteins, which inhibit adenylyl cyclase, thereby preventing signal transduction mediated via cAMP and leading to an inhibitory effect on neurotransmission. This improves Parkinson symptoms, such as dyskinesia. Bromocriptine also has an inhibitory effect on the anterior pituitary gland, which results in blockage of prolactin secretion, thereby suppressing lactation.",NCI,T109,Organic Chemical
35,C0006246,Brompheniramine,SNOMEDCT_US,"Histamine H1 antagonist used in treatment of allergies, rhinitis, and urticaria.",MSH,T109,Organic Chemical
36,C0006255,Bronchus,SNMI,"Tubular structure in continuation with the trachea, serving as air passage. It terminates in the lung (terminal bronchiole).",NCI,T023,"Body Part, Organ, or Organ Component"
37,C0006261,bronchial diseases,CHV,"When you breathe in, the air travels down through your trachea (windpipe). It then goes through two tubes to your lungs. These tubes are your bronchi. Bronchial disorders can make it hard for you to breathe. The most common problem with the bronchi is bronchitis, an inflammation of the tubes. It can be acute or chronic. Other problems include: Bronchiectasis - a condition in which damage to the airways causes them to widen and become flabby and scarred Exercise-induced bronchospasm - a breathing problem that happens when your airways shrink while you are exercising Bronchiolitis - an inflammation of the small airways that branch off from the bronchi Bronchopulmonary dysplasia - a chronic lung condition in infants, most often premature infants",MEDLINEPLUS,T047,Disease or Syndrome
38,C0006266,Bronchospasm,SNOMEDCT_US,Sudden contraction of the smooth muscles of the bronchial wall.,NCI,T047,Disease or Syndrome
39,C0006277,Bronchitis,MTH,An acute or chronic inflammatory process affecting the bronchi.,NCI,T047,Disease or Syndrome
40,C0006376,Bumetanide,SNOMEDCT_US,"A potent sulfamoylanthranilic acid derivative belonging to the class of loop diuretics. In the brain, bumetanide may prevent seizures in neonates by blocking the bumetanide-sensitive sodium-potassium-chloride cotransporter (NKCC1), thereby inhibiting chloride uptake thus, decreasing the internal chloride concentration in neurons and may block the excitatory effect of GABA in neonates.",NCI,T109,Organic Chemical
41,C0006388,Levobunolol,SNOMEDCT_US,"A naphthalenone and non-cardioselective adrenergic beta-receptor antagonist with anti-glaucoma activity. Upon administration in the eye, levobunolol blocks beta-adrenergic receptors, thereby causing vasoconstriction. Levobunolol also decreases ciliary's body production of aqueous humor, leading to a decrease in aqueous humor.",NCI,T109,Organic Chemical
42,C0006403,Bupranolol,NCI,"An adrenergic-beta-2 antagonist that has been used for cardiac arrhythmia, angina pectoris, hypertension, glaucoma, and as an antithrombotic.",MSH,T109,Organic Chemical
43,C0006491,Butorphanol,SNOMEDCT_US,A synthetic morphinan analgesic with narcotic antagonist action. It is used in the management of severe pain.,MSH,T109,Organic Chemical
44,C0006542,Byssinosis,SNOMEDCT_US,"An occupational lung disorder caused by exposure to cotton dust. It occurs more commonly in workers in the textile industry. Signs and symptoms include chest tightness, cough and wheezing. The symptoms tend to get worse at the beginning of the week and subside by the end of the week.",NCI,T047,Disease or Syndrome
45,C0006837,Candida albicans,SNOMEDCT_US,"A species of diploid fungus in the phylum Ascomycota which is capable of mating but not of meiosis, and is a causal agent of opportunistic oral and genital infections in humans.",NCI,T004,Fungus
46,C0006866,Cannabinosis,SNOMEDCT_US,A disorder associated with chronic exposure to inhaled dust during the processing of hemp.,NCI,T047,Disease or Syndrome
47,C0007222,Cardiovascular Disease,CCPSS,"A non-neoplastic or neoplastic disorder affecting the heart or the vessels (arteries, veins and lymph vessels). Representative examples of non-neoplastic cardiovascular disorders are endocarditis and hypertension. Representative examples of neoplastic cardiovascular disorders are endocardial myxoma and angiosarcoma.",NCI,T047,Disease or Syndrome
48,C0007226,cardiovascular system,CHV,Relating to the heart and the blood vessels or the circulation.,NCI,T022,Body System
49,C0007299,Carteolol,SNOMEDCT_US,"A synthetic quinolinone derivative and nonselective beta-adrenoceptor blocking agent with anti-glaucoma activity. Upon topical administration to the eye, carteolol decreases aqueous humor production, thereby reducing intraocular pressure (IOP).",NCI,T109,Organic Chemical
50,C0007820,Cerebrovascular Disorders,MTH,"A disorder resulting from inadequate blood flow in the vessels that supply the brain. Representative examples include cerebrovascular ischemia, cerebral embolism, and cerebral infarction.",NCI,T047,Disease or Syndrome
51,C0008273,Chlorothiazide,SNOMEDCT_US,"A short-acting, benzothiadiazinesulfonamide derivative and prototypical thiazide diuretic. Chlorothiazide is excreted unchanged by the kidneys.",NCI,T109,Organic Chemical
52,C0008287,Chlorpropamide,SNOMEDCT_US,"A long-acting, first-generation sulfonylurea with hypoglycemic activity. Compared to other sulfonylureas, chlorpropamide has an increased risk of prolonged hypoglycemia because of its long half-life.",NCI,T109,Organic Chemical
53,C0008294,Chlorthalidone,SNOMEDCT_US,"A long acting thiazide-like diuretic of the sulfamoylbenzamide class that is devoid of the benzothiadiazine structure. Chlorthalidone directly inhibits sodium and chloride reabsorption on the luminal membrane of the early segment in the distal convoluted tubule (DCT) in the kidney. This leads to an increase in sodium, chloride, bicarbonate, and potassium secretion resulting in the excretion of water. In addition, this agent, like other thiazide diuretics, decreases calcium and uric acid secretion. In addition, this agent inhibits many carbonic anhydrase (CA) isoenzymes. Chlorthalidone is used in the treatment of high blood pressure, edema and congestive heart failure. The elimination half-life is about 40 to 50 hours.",NCI,T109,Organic Chemical
